,LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT,LATITUDE,LONGITUDE
66,7179.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY SOUTH WENTWORTHVILLE SOUTHBOUND,,Y,200,-33.8211449,150.962425
67,7180.0,Red Light / Speed Camera,FREDERICK STREET ASHFIELD SOUTHBOUND,,Y,220,-33.8789342,151.1244362
68,7181.0,Red Light / Speed Camera,NEWBRIDGE ROAD MOOREBANK WESTBOUND,,Y,117,-33.9301231,150.9336252
69,7182.0,Red Light / Speed Camera,OLD WINDSOR ROAD NORTHMEAD EASTBOUND,,Y,166,-33.7929012,150.9817786
70,7183.0,Red Light / Speed Camera,FOREST ROAD BEXLEY SOUTHBOUND,,Y,118,-33.9525972,151.1224609
71,7184.0,Red Light / Speed Camera,RYDE ROAD WEST PYMBLE SOUTHBOUND,,Y,74,-33.762586,151.1374472
72,7185.0,Red Light / Speed Camera,WICKS ROAD NORTH RYDE  NORTHBOUND,,Y,200,-33.8010171,151.1213566
73,7186.0,Red Light / Speed Camera,FAIRLIGHT STREET FIVE DOCK EASTBOUND,,Y,166,-33.8698807,151.1322258
74,7188.0,Red Light / Speed Camera,WATTLE STREET ULTIMO NORTHBOUND,,Y,150,-33.8830919,151.1978139
75,7190.0,Red Light / Speed Camera,O'RIORDAN STREET MASCOT SOUTHBOUND,,Y,85,-33.9255929,151.1893753
76,7191.0,Red Light / Speed Camera,PARKER STREET SOUTH PENRITH NORTHBOUND,,Y,94,-33.7681804,150.7103739
77,7192.0,Red Light / Speed Camera,OLD SOUTH HEAD ROAD BONDI JUNCTION WESTBOUND,,Y,245,-33.8893618,151.2563241
78,7193.0,Red Light / Speed Camera,SUNNYHOLT ROAD  BLACKTOWN SOUTHBOUND,,Y,177,-33.7604626,150.9132878
79,7194.0,Red Light / Speed Camera,PITTWATER ROAD DEE WHY SOUTHBOUND,Y,Y,238,-33.7501988,151.2893237
80,7195.0,Red Light / Speed Camera,PARK ROAD KOGARAH BAY NORTHBOUND,,Y,179,-33.9804922,151.124708
81,7196.0,Red Light / Speed Camera,LANCASTER STREET BLACKTOWN SOUTHBOUND,Y,Y,197,-33.7704419,150.8927967
82,7198.0,Red Light / Speed Camera,ACACIA ROAD  KIRRAWEE  SOUTHBOUND,,Y,88,-34.0310018,151.0670527
83,7199.0,Red Light / Speed Camera,AVOCA STREET RANDWICK NORTHBOUND,,Y,75,-33.9170444,151.2414342
84,7200.0,Red Light / Speed Camera,BLAXLAND ROAD EASTWOOD NORTHBOUND,,Y,78,-33.7977086,151.0940482
85,7201.0,Red Light / Speed Camera,VICTORIA STREET SMITHFIELD WESTBOUND,,Y,223,-33.8513762,150.9359191
86,7202.0,Red Light / Speed Camera,SYDENHAM ROAD  MARRICKVILLE  EASTBOUND,,Y,156,-33.9079782,151.1595508
87,7203.0,Red Light / Speed Camera,VICTORIA ROAD RYDE WESTBOUND,,Y,167,-33.81658530000001,151.1092436
88,7204.0,Red Light / Speed Camera,RYDE ROAD HUNTERS HILL WESTBOUND,,Y,150,-33.824375,151.132937
89,7205.0,Red Light / Speed Camera,MILITARY ROAD MOSMAN WESTBOUND,,Y,107,-33.8258567,151.2330311
90,7206.0,Red Light / Speed Camera,BEXLEY ROAD KINGSGROVE NORTHBOUND,,Y,84,-33.938908,151.114004
91,7207.0,Red Light / Speed Camera,CHALMERS STREET REDFERN NORTHBOUND,Y,Y,221,-33.890722,151.206127
92,7208.0,Red Light / Speed Camera,ANZAC PARADE KENSINGTON NORTHBOUND,,Y,104,-33.9185524,151.226151
93,7209.0,Red Light / Speed Camera,SACKVILLE STREET CANLEY VALE NORTHBOUND,,Y,95,-33.884243,150.93774
94,7210.0,Red Light / Speed Camera,PARRAMATTA ROAD HABERFIELD EASTBOUND,,Y,118,-33.8853299,151.1371247
95,7211.0,Red Light / Speed Camera,PARK AVENUE ADAMSTOWN WESTBOUND,,Y,170,-32.9371319,151.7163306
96,7212.0,Red Light / Speed Camera,PACIFIC HIGHWAY HAMILTON EAST NORTHBOUND,,Y,183,-32.9275098,151.7572699
97,7213.0,Red Light / Speed Camera,GRIFFITHS ROAD LAMBTON EASTBOUND,,Y,99,-32.9122179,151.720923
98,7214.0,Red Light / Speed Camera,PACIFIC HIGHWAY MAYFIELD WEST WESTBOUND,,Y,169,-32.8874123,151.7224693
99,7215.0,Red Light / Speed Camera,TUDOR STREET HAMILTON WESTBOUND,,Y,176,-32.9245781,151.7493677
100,7216.0,Red Light / Speed Camera,GLADSTONE AVENUE WOLLONGONG NORTHBOUND,,Y,192,-34.4283969,150.8865581
101,7217.0,Red Light / Speed Camera,PRINCES HIGHWAY UNANDERRA SOUTHBOUND,,Y,79,-34.4562961,150.8438715
102,7218.0,Red Light / Speed Camera,CORRIMAL STREET WOLLONGONG NORTHBOUND,,Y,117,-34.425747,150.8998203
103,7219.0,Red Light / Speed Camera,PRINCES HIGHWAY FIGTREE NORTHBOUND,,Y,168,-34.43680519999999,150.8633439
104,7220.0,Red Light / Speed Camera,WINDANG ROAD WINDANG NORTHBOUND,,Y,160,-34.5318435,150.868605
105,7223.0,Red Light / Speed Camera,M4 WESTERN MOTORWAY OFF-RAMP AUBURN WESTBOUND,,Y,105,-33.8385807,151.0358449
106,7240.0,Red Light / Speed Camera,RAMSAY STREET HABERFIELD SOUTHBOUND,,Y,113,-33.8791607,151.1375481
107,7241.0,Red Light / Speed Camera,PARRAMATTA ROAD FIVE DOCK EASTBOUND,,Y,89,-33.8710114,151.1198776
108,7242.0,Red Light / Speed Camera,PARRAMATTA ROAD GRANVILLE EASTBOUND,,Y,109,-33.8298358,151.010148
109,7243.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET SOUTHBOUND,,Y,102,-33.880541,151.2049867
110,7244.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET EASTBOUND,,Y,166,-33.880541,151.2049867
111,7245.0,Red Light / Speed Camera,THE BOULEVARDE WILEY PARK WESTBOUND,Y,Y,226,-33.9230726,151.0678535
112,7246.0,Red Light / Speed Camera,CANTERBURY ROAD CAMPSIE EASTBOUND,,Y,86,-33.9187181,151.1031845
113,7247.0,Red Light / Speed Camera,WILLOUGHBY ROAD NAREMBURN SOUTHBOUND,,Y,166,-33.8172087,151.2015284
114,7248.0,Red Light / Speed Camera,STACEY STREET BANKSTOWN NORTHBOUND,Y,Y,199,-33.9162285,151.0384083
115,7249.0,Red Light / Speed Camera,O'CONNELL STREET PARRAMATTA SOUTHBOUND,,Y,146,-33.816592,151.000275
116,7250.0,Red Light / Speed Camera,CHISHOLM ROAD AUBURN NORTHBOUND,,Y,141,-33.8637456,151.0185357
117,7251.0,Red Light / Speed Camera,CITY WEST LINK LEICHHARDT WESTBOUND,,Y,111,-33.8752093,151.1592542
118,7252.0,Red Light / Speed Camera,BROUGHTON STREET CONCORD SOUTHBOUND,,Y,104,-33.8631555,151.105011
119,7253.0,Red Light / Speed Camera,MEMORIAL AVENUE LIVERPOOL EASTBOUND,Y,Y,173,-33.9233691,150.911899
120,7254.0,Red Light / Speed Camera,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,Y,176,-33.7945603,151.1183431
121,7269.0,Red Light / Speed Camera,COX'S ROAD NORTH RYDE WESTBOUND,Y,Y,192,-33.794498,151.1219266
122,7270.0,Red Light / Speed Camera,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,Y,245,-33.7945603,151.1183431
123,7271.0,Red Light / Speed Camera,PUNCHBOWL ROAD LAKEMBA WESTBOUND,,Y,65,-33.9144207,151.0677547
124,7272.0,Red Light / Speed Camera,EDGAR STREET BANKSTOWN WESTBOUND,,Y,98,-33.9351704,151.01043
125,7273.0,Red Light / Speed Camera,ABBOTT ROAD SEVEN HILLS WESTBOUND,,Y,130,-33.767284,150.952495
126,7274.0,Red Light / Speed Camera,GREAT WESTERN HIGHWAY MOUNT DRUITT EASTBOUND,,Y,114,-33.778447,150.8110085
127,7275.0,Red Light / Speed Camera,GEORGES RIVER ROAD CROYDON PARK EASTBOUND,,Y,70,-33.8960086,151.1065154
128,7276.0,Red Light / Speed Camera,MOORE-OXLEY BYPASS BRADBURY SOUTHBOUND,,Y,132,-34.0725565,150.8101923
129,7277.0,Red Light / Speed Camera,BURWOOD ROAD BELFIELD NORTHBOUND,,Y,144,-33.90295,151.084403
130,7278.0,Red Light / Speed Camera,KINGSGROVE ROAD KINGSGROVE NORTHBOUND,,Y,135,-33.9492515,151.1024769
131,7279.0,Red Light / Speed Camera,THE HORSLEY DRIVE FAIRFIELD NORTHBOUND,,Y,170,-33.86573500000001,150.9555121
132,7280.0,Red Light / Speed Camera,CUMBERLAND HIGHWAY SMITHFIELD SOUTHBOUND,,Y,126,-33.8499757,150.9449777
