LOCATION_CODE,LATITUDE,LONGITUDE
9832.0,-33.894289,150.891065
9833.0,-34.0346031,151.1054626
9834.0,-34.0346031,151.1054626
9835.0,-33.81658530000001,151.1092436
9836.0,-33.81658530000001,151.1092436
9837.0,-33.896277,151.220519
9838.0,-33.896277,151.220519
9839.0,-33.812051,151.0396225
9840.0,-33.812051,151.0396225
9841.0,-33.8671273,150.988116
9842.0,-33.8704044,150.9856395
9843.0,-33.7242039,151.1189764
9844.0,-33.7242039,151.1189764
9845.0,-33.7606459,150.7109626
9846.0,-33.7606459,150.7109626
9847.0,-33.6989771,151.300621
9848.0,-33.70814310000001,151.2960824
9849.0,-33.8801227,151.0928141
9850.0,-33.440534,151.435945
9851.0,-33.9260017,151.0124588
10000.0,-32.0582583,150.8702583
10008.0,-32.6601529,151.0267919
10009.0,-32.5863328,151.1532253
10010.0,-33.07298,151.6509828
10011.0,-33.07298,151.6509828
10012.0,-33.07298,151.6509828
10013.0,-32.5863328,151.1532253
10019.0,-32.6175118,151.1093849
10021.0,-32.5568861,151.1687091
10022.0,-32.545362,151.1495898
10036.0,-32.6605345,151.3515985
10038.0,-32.8706836,151.4300431
10042.0,-32.7142017,151.3278819
10043.0,-32.7142017,151.3278819
10044.0,-32.7142017,151.3278819
10047.0,-32.70917430000001,151.5176708
10050.0,-32.1095292,152.4780207
10051.0,-32.1095292,152.4780207
10052.0,-32.1095292,152.4780207
10055.0,-32.1095292,152.4780207
10060.0,-32.7846953,151.7334245
10071.0,-34.8799505,149.5352035
10073.0,-34.9599481,149.4077462
10075.0,-34.9599481,149.4077462
10077.0,-35.0618689,149.3735609
10080.0,-32.1708727,150.8908584
10081.0,-32.3168065,150.939234
10085.0,-34.9599481,149.4077462
10086.0,-34.9599481,149.4077462
10088.0,-34.9599481,149.4077462
10089.0,-34.8799505,149.5352035
10090.0,-32.6259184,152.0554363
10091.0,-32.5961741,152.1174444
10092.0,-32.5961741,152.1174444
10110.0,-32.9990506,151.5371045
10112.0,-34.2946464,148.3496827
10117.0,-34.5140312,148.1625925
10120.0,-32.6171166,151.2171226
10122.0,-34.2946464,148.3496827
10123.0,-34.2946464,148.3496827
10130.0,-32.9991405,151.6857887
10131.0,-32.9991405,151.6857887
10138.0,-31.8638992,148.6410193
10140.0,-31.8638992,148.6410193
10146.0,-31.9818835,148.583311
10147.0,-31.5536107,148.8145745
10150.0,-31.2489375,149.3064104
10158.0,-31.4302152,149.0702718
10159.0,-31.4302152,149.0702718
10160.0,-32.985812,151.513287
10162.0,-31.2489375,149.3064104
10180.0,-32.7477726,151.5437185
10181.0,-32.7477726,151.5437185
10182.0,-32.7477726,151.5437185
10200.0,-32.7500893,151.8696834
10201.0,-32.802546,151.850501
10202.0,-32.802546,151.850501
10204.0,-32.6645982,152.1572389
10206.0,-32.6645982,152.1572389
10210.0,-32.6981486,151.4092756
10212.0,-32.6661738,151.7272439
10218.0,-32.3980621,151.9623983
10224.0,-32.57380759999999,151.9188956
10226.0,-32.2076194,151.9393414
10227.0,-32.2207581,151.9372369
10228.0,-32.0051715,151.9586041
10229.0,-32.0244487,151.9533587
10231.0,-32.6553869,151.8683913
10246.0,-32.3102227,150.8234388
10247.0,-32.3296058,150.5576112
10250.0,-30.5069228,151.6356351
10251.0,-30.3147893,151.6898311
10252.0,-30.3147893,151.6898311
10253.0,-30.3257894,151.6780762
10255.0,-32.9668197,151.6268218
10256.0,-32.9668197,151.6268218
10274.0,-28.81772939999999,153.5284431
10275.0,-28.81772939999999,153.5284431
10276.0,-28.848359,153.5461183
10277.0,-28.7991634,153.5234204
10280.0,-30.5213977,152.9827172
10282.0,-30.520322,153.001023
10283.0,-30.5447594,153.0065598
10284.0,-30.5213977,152.9827172
10286.0,-30.147621,153.006848
10287.0,-30.0509603,152.9787737
10288.0,-30.0509603,152.9787737
10290.0,-29.0958127,153.3396554
10291.0,-29.0390203,153.4008215
10294.0,-30.0509603,152.9787737
10300.0,-29.0178114,153.4271099
