,Unnamed: 0,OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,SECTION_CLAUSE,FACE_VALUE,CAMERA_IND,CAMERA_TYPE,LOCATION_CODE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_BAND,SPEED_IND,POINT_TO_POINT_IND,RED_LIGHT_CAMERA_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,CINS_IND,FOOD_IND,BICYCLE_TOY_ETC_IND,TOTAL_NUMBER,TOTAL_VALUE
37504,58386,2015-2016,01/09/2015,83093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Individual,ROAD RULES 2014,20,2306,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,2,4612
37506,58388,2016-2017,01/07/2016,83160,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,568,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,568
37570,58515,2016-2017,01/03/2017,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,872,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,5,4360
37600,58560,2016-2017,01/02/2017,82957,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,189,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,67,12663
37671,58688,2015-2016,01/10/2015,83180,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,3,1338
37672,58689,2015-2016,01/01/2016,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,560,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,2240
37715,58765,2015-2016,01/07/2015,83180,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,446
37719,58770,2016-2017,01/06/2017,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,265,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,287,76055
37723,58774,2013-2014,01/03/2014,24701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,530,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,3,1590
37756,58821,2013-2014,01/06/2014,24707,Exceed speed limit over 30 km/h - Camera Detected,ROAD RULES 2008,20,4075,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,1,4075
