,Unnamed: 0,OFFENCE_FINYEAR,OFFENCE_MONTH,OFFENCE_CODE,OFFENCE_DESC,LEGISLATION,SECTION_CLAUSE,FACE_VALUE,CAMERA_IND,CAMERA_TYPE,LOCATION_CODE,LOCATION_DETAILS,SCHOOL_ZONE_IND,SPEED_BAND,SPEED_IND,POINT_TO_POINT_IND,RED_LIGHT_CAMERA_IND,SPEED_CAMERA_IND,SEATBELT_IND,MOBILE_PHONE_IND,PARKING_IND,CINS_IND,FOOD_IND,BICYCLE_TOY_ETC_IND,TOTAL_NUMBER,TOTAL_VALUE
107827,167192,2011-2012,01/04/2012,74705,Exceed speed limit over 20km/h - Camera Detected,ROAD RULES 2008,20,371,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,8,2968
107848,167220,2012-2013,01/03/2013,74721,Exceed speed limit 10 km/h and under - Camera Detected,ROAD RULES 2008,20,313,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,626
107894,167281,2015-2016,01/10/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,2,892
107898,167286,2016-2017,01/02/2017,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,872,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,6,5232
107976,167398,2013-2014,01/09/2013,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,248,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,19,4712
108003,167433,2012-2013,01/11/2012,24703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,1215,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,3,3645
108081,167539,2016-2017,01/05/2017,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,570,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,4,2280
108195,167696,2012-2013,01/09/2012,24705,Exceed speed limit over 20 km/h - Camera Detected,ROAD RULES 2008,20,2085,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,2085
108257,167777,2015-2016,01/10/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,57,25422
108264,167785,2013-2014,01/03/2014,74735,Drive in bus lane - Camera Detected - Individual,ROAD RULES 2008,154(1),304,Y,Fixed Digital Bus Lane Camera,8468.0,EPPING ROAD LANE COVE WESTBOUND,,,,,,,,,,,,,32,9728
108406,167976,2014-2015,01/01/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,436,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,436
108420,167998,2017-2018,01/11/2017,33491,Proceed through red traffic arrow - Camera recorded - Corporation,ROAD RULES 2014,60,2195,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,27,59265
108432,168014,2014-2015,01/09/2014,24704,Exceed speed limit over 10 km/h - Camera Detected - School Zone,ROAD RULES 2008,20,1635,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,1635
108485,168079,2016-2017,01/03/2017,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,570,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,14,7980
108506,168108,2015-2016,01/11/2015,83229,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,335,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,670
108532,168141,2017-2018,01/09/2017,33491,Proceed through red traffic arrow - Camera recorded - Corporation,ROAD RULES 2014,60,2195,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,1,2195
108547,168161,2011-2012,01/03/2012,74705,Exceed speed limit over 20km/h - Camera Detected,ROAD RULES 2008,20,371,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,19,7049
108584,168208,2015-2016,01/06/2016,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,24,10704
108651,168297,2016-2017,01/10/2016,82960,Motor vehicle exceed speed limit - over 30 km/h - Camera recorded - Individual,ROAD RULES 2014,20,872,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,7,6104
108691,168348,2014-2015,01/09/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,109,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,260,28340
108743,168410,2012-2013,01/03/2013,24705,Exceed speed limit over 20 km/h - Camera Detected,ROAD RULES 2008,20,2085,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,2085
108860,168557,2011-2012,01/04/2012,74707,Exceed speed limit over 30 km/h - Camera Detected,ROAD RULES 2008,20,710,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,3,2130
108954,168673,2016-2017,01/06/2017,83408,Proceed through red traffic light - School Zone - Camera recorded - Individual,ROAD RULES 2014,59(1),541,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,NOT STOP AT RED LIGHT,,,Y,,,,,,,,2,1082
108966,168690,2014-2015,01/09/2014,74735,Drive in bus lane - Camera Detected - Individual,ROAD RULES 2008,154(1),311,Y,Fixed Digital Bus Lane Camera,8468.0,EPPING ROAD LANE COVE WESTBOUND,,,,,,,,,,,,,46,14306
108983,168715,2016-2017,01/11/2016,33406,Proceed through red traffic light - Camera recorded - Corporation,ROAD RULES 2014,59(1),2165,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,1,2165
109005,168738,2015-2016,01/09/2015,83039,Motor vehicle exceed speed limit - over 20 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,558,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,4,2232
109047,168793,2014-2015,01/07/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,109,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,263,28667
109051,168797,2014-2015,01/02/2015,83180,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,436,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,4,1744
109083,168833,2017-2018,01/07/2017,33406,Proceed through red traffic light - Camera recorded - Corporation,ROAD RULES 2014,59(1),2195,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,2,4390
109125,168886,2011-2012,01/05/2012,24705,Exceed speed limit over 20 km/h - Camera Detected,ROAD RULES 2008,20,371,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,371
109203,168991,2017-2018,01/07/2017,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,269,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,14,3766
109248,169047,2016-2017,01/02/2017,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,455,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,455
109302,169115,2013-2014,01/06/2014,74723,Exceed speed limit over 10 km/h - Camera Detected,ROAD RULES 2008,20,425,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,4,1700
109392,169224,2013-2014,01/05/2014,24701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,530,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,530
109424,169268,2013-2014,01/05/2014,24701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,530,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,5,2650
109452,169302,2013-2014,01/08/2013,74733,Proceed through red traffic arrow - Camera Detected - Individual,ROAD RULES 2008,60,405,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,4,1620
109551,169532,2017-2018,01/10/2017,33063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,580,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,29,16820
109724,170040,2017-2018,01/07/2017,83052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,346,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,13,4498
109813,170239,2014-2015,01/06/2015,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,254,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,21,5334
109844,170301,2011-2012,01/05/2012,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,216,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,50,10800
109871,170357,2012-2013,01/09/2012,24701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,525,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,1050
109883,170379,2014-2015,01/04/2015,33406,Proceed through red traffic light - Camera recorded - Corporation,ROAD RULES 2014,59(1),2075,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,1,2075
109924,170451,2014-2015,01/11/2014,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,109,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,61,6649
109926,170453,2015-2016,01/07/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1338
109928,170457,2015-2016,01/06/2016,32950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,1300,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,5,6500
109970,170540,2013-2014,01/11/2013,24701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,530,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,530
109992,170578,2012-2013,01/05/2013,74731,Proceed through red traffic light - Camera Detected - Individual,ROAD RULES 2008,59(1),397,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,15,5955
110034,170639,2011-2012,01/06/2012,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,93,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,128,11904
110068,170698,2012-2013,01/03/2013,24709,Exceed speed limit over 45 km/h - Camera Detected,ROAD RULES 2008,20,10770,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,1,10770
110088,170731,2016-2017,01/05/2017,83093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Individual,ROAD RULES 2014,20,2350,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,4,9400
110090,170735,2012-2013,01/03/2013,74707,Exceed speed limit over 30 km/h - Camera Detected,ROAD RULES 2008,20,799,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,5,3995
110129,170808,2016-2017,01/08/2016,33162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Corporation,ROAD RULES 2014,20,1705,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,3410
110192,170905,2012-2013,01/12/2012,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,105,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,232,24360
110212,170934,2015-2016,01/02/2016,32995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,2230,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,2230
110226,170952,2015-2016,01/01/2016,83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,112,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,88,9856
110251,170990,2012-2013,01/12/2012,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,105,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,163,17115
110253,170993,2014-2015,01/06/2015,33051,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Corporation,ROAD RULES 2014,20,2180,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,2180
110272,171022,2013-2014,01/03/2014,74721,Exceed speed limit 10 km/h and under - Camera Detected,ROAD RULES 2008,20,319,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,638
110278,171033,2011-2012,01/06/2012,24735,Drive in bus lane - Camera Detected - Corporation,ROAD RULES 2008,154(1),265,Y,Fixed Digital Bus Lane Camera,8468.0,EPPING ROAD LANE COVE WESTBOUND,,,,,,,,,,,,,1,265
110309,171079,2014-2015,01/10/2014,24704,Exceed speed limit over 10 km/h - Camera Detected - School Zone,ROAD RULES 2008,20,1635,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,4,6540
110401,171213,2015-2016,01/04/2016,83093,Motor vehicle exceed speed limit - over 45 km/h - Camera recorded - Individual,ROAD RULES 2014,20,2306,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED 45KM/H OR OVER,Y,,,Y,,,,,,,2,4612
110409,171223,2013-2014,01/02/2014,74723,Exceed speed limit over 10 km/h - Camera Detected,ROAD RULES 2008,20,425,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,2,850
110535,171403,2014-2015,01/03/2015,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,254,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,26,6604
110606,171494,2012-2013,01/09/2012,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,243,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,62,15066
110667,171572,2016-2017,01/12/2016,83039,Motor vehicle exceed speed limit - over 20 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,568,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1704
110733,171667,2012-2013,01/10/2012,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,105,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,326,34230
110737,171672,2017-2018,01/09/2017,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,462,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,4,1848
110890,171870,2015-2016,01/11/2015,83162,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,335,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,1,335
111034,172061,2017-2018,01/07/2017,83408,Proceed through red traffic light - School Zone - Camera recorded - Individual,ROAD RULES 2014,59(1),549,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,NOT STOP AT RED LIGHT,,,Y,,,,,,,,1,549
111163,172223,2015-2016,01/11/2015,83063,Motor vehicle exceed speed limit - 10 km/h and under - Camera recorded - Individual,ROAD RULES 2014,20,112,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,98,10976
111177,172240,2013-2014,01/09/2013,74711,Exceed speed limit 10 km/h and under - Camera Detected,ROAD RULES 2008,20,319,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,2,638
111193,172264,2016-2017,01/01/2017,83491,Proceed through red traffic arrow - Camera recorded - Individual,ROAD RULES 2014,60,433,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,14,6062
111226,172304,2013-2014,01/09/2013,74701,Exceed speed limit 10km/h and under - Camera Detected,ROAD RULES 2008,20,106,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,154,16324
111234,172316,2012-2013,01/06/2013,74731,Proceed through red traffic light - Camera Detected - Individual,ROAD RULES 2008,59(1),397,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,73,28981
111276,172370,2014-2015,01/11/2014,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,254,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,31,7874
111360,172479,2017-2018,01/11/2017,83491,Proceed through red traffic arrow - Camera recorded - Individual,ROAD RULES 2014,60,439,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,,NOT STOP AT RED LIGHT,,,Y,,,,,,,,3,1317
111480,172634,2014-2015,01/10/2014,74703,Exceed speed limit over 10km/h - Camera Detected,ROAD RULES 2008,20,254,Y,Fixed Digital Speed Camera,9656.0,LANE COVE TUNNEL LANE COVE WEST WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,116,29464
111564,172754,2015-2016,01/08/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,3,1338
111582,172777,2017-2018,01/11/2017,32957,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Corporation,ROAD RULES 2014,20,960,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,30,28800
111612,172813,2016-2017,01/03/2017,83052,Motor vehicle exceed speed limit - over 10 km/h - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,341,Y,Red Light / Speed Camera,7254.0,LANE COVE ROAD (SOUTHBOUND) NORTH RYDE SOUTHBOUND,Y,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,36,12276
111619,172822,2015-2016,01/01/2016,82950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Individual,ROAD RULES 2014,20,260,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,330,85800
111638,172842,2014-2015,01/12/2014,82957,Motor vehicle exceed speed limit - 10 km/h and under - School Zone - Camera recorded - Individual,ROAD RULES 2014,20,182,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,Y,EXCEED SPEED 10KM/H OR UNDER,Y,,,Y,,,,,,,222,40404
111804,173051,2013-2014,01/12/2013,74707,Exceed speed limit over 30 km/h - Camera Detected,ROAD RULES 2008,20,815,Y,Red Light / Speed Camera,7270.0,LANE COVE ROAD (NORTHBOUND) NORTH RYDE NORTHBOUND,,EXCEED SPEED OVER 30KM/H,Y,,,Y,,,,,,,1,815
111853,173110,2014-2015,01/06/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,436,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,436
111855,173112,2017-2018,01/11/2017,32950,Motor vehicle exceed speed limit - over 10 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,1345,Y,Red Light / Speed Camera,7297.0,EPPING ROAD LANE COVE WESTBOUND,,EXCEED SPEED OVER 10KM/H,Y,,,Y,,,,,,,1,1345
111890,173154,2015-2016,01/08/2015,82995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Individual,ROAD RULES 2014,20,446,Y,Fixed Digital Speed Camera,9655.0,LANE COVE TUNNEL LANE COVE EASTBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,23,10258
111937,173214,2016-2017,01/09/2016,32995,Motor vehicle exceed speed limit - over 20 km/h - Camera recorded - Corporation,ROAD RULES 2014,20,2275,Y,Fixed Digital Speed Camera,9550.0,CENTENNIAL AVENUE LANE COVE SOUTHBOUND,,EXCEED SPEED OVER 20KM/H,Y,,,Y,,,,,,,1,2275
