LOCATION_CODE,CAMERA_TYPE,LOCATION_DETAILS,SCHOOL_ZONE_IND,RED_LIGHT_CAMERA_IND,COUNT
7205.0,Red Light / Speed Camera,MILITARY ROAD MOSMAN WESTBOUND,,Y,107
7206.0,Red Light / Speed Camera,BEXLEY ROAD KINGSGROVE NORTHBOUND,,Y,84
7207.0,Red Light / Speed Camera,CHALMERS STREET REDFERN NORTHBOUND,Y,Y,221
7208.0,Red Light / Speed Camera,ANZAC PARADE KENSINGTON NORTHBOUND,,Y,104
7209.0,Red Light / Speed Camera,SACKVILLE STREET CANLEY VALE NORTHBOUND,,Y,95
7210.0,Red Light / Speed Camera,PARRAMATTA ROAD HABERFIELD EASTBOUND,,Y,118
7211.0,Red Light / Speed Camera,PARK AVENUE ADAMSTOWN WESTBOUND,,Y,170
7212.0,Red Light / Speed Camera,PACIFIC HIGHWAY HAMILTON EAST NORTHBOUND,,Y,183
7213.0,Red Light / Speed Camera,GRIFFITHS ROAD LAMBTON EASTBOUND,,Y,99
7214.0,Red Light / Speed Camera,PACIFIC HIGHWAY MAYFIELD WEST WESTBOUND,,Y,169
7215.0,Red Light / Speed Camera,TUDOR STREET HAMILTON WESTBOUND,,Y,176
7216.0,Red Light / Speed Camera,GLADSTONE AVENUE WOLLONGONG NORTHBOUND,,Y,192
7217.0,Red Light / Speed Camera,PRINCES HIGHWAY UNANDERRA SOUTHBOUND,,Y,79
7218.0,Red Light / Speed Camera,CORRIMAL STREET WOLLONGONG NORTHBOUND,,Y,117
7219.0,Red Light / Speed Camera,PRINCES HIGHWAY FIGTREE NORTHBOUND,,Y,168
7220.0,Red Light / Speed Camera,WINDANG ROAD WINDANG NORTHBOUND,,Y,160
7223.0,Red Light / Speed Camera,M4 WESTERN MOTORWAY OFF-RAMP AUBURN WESTBOUND,,Y,105
7240.0,Red Light / Speed Camera,RAMSAY STREET HABERFIELD SOUTHBOUND,,Y,113
7241.0,Red Light / Speed Camera,PARRAMATTA ROAD FIVE DOCK EASTBOUND,,Y,89
7242.0,Red Light / Speed Camera,PARRAMATTA ROAD GRANVILLE EASTBOUND,,Y,109
7243.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET SOUTHBOUND,,Y,102
7244.0,Red Light / Speed Camera,GEORGE STREET HAYMARKET EASTBOUND,,Y,166
7245.0,Red Light / Speed Camera,THE BOULEVARDE WILEY PARK WESTBOUND,Y,Y,226
7246.0,Red Light / Speed Camera,CANTERBURY ROAD CAMPSIE EASTBOUND,,Y,86
7247.0,Red Light / Speed Camera,WILLOUGHBY ROAD NAREMBURN SOUTHBOUND,,Y,166
7248.0,Red Light / Speed Camera,STACEY STREET BANKSTOWN NORTHBOUND,Y,Y,199
7249.0,Red Light / Speed Camera,O'CONNELL STREET PARRAMATTA SOUTHBOUND,,Y,146
